Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
22-08-2023,520,526.4,514,525.9,1.53,"9,119.00","47,43,272.20",0.0752
23-08-2023,529.8,545,524,545,3.63,"67,742.00","3,64,61,576.50",0.0752
24-08-2023,542,547.5,529.5,530,-2.75,"40,419.00","2,17,08,930.70",0.0752
27-08-2023,532,532,518.3,523.9,-1.15,"19,842.00","1,03,44,693.30",0.0752
28-08-2023,514,532,514,523.5,-0.08,"13,348.00","69,90,099.90",0.0752
29-08-2023,533.9,533.9,515.1,516.8,-1.28,"11,860.00","61,58,615.00",0.0752
30-08-2023,516.8,519,514,514.3,-0.48,"14,379.00","74,21,599.40",0.0752
03-09-2023,510,513,499,504.8,-1.85,"31,970.00","1,60,93,439.40",0.0752
04-09-2023,495,512,494.5,502,-0.55,"15,005.00","74,81,594.10",0.0752
05-09-2023,493,505,492.1,492.8,-1.83,"11,033.00","54,54,589.70",0.0752
07-09-2023,490,495,480.2,482,-2.19,"11,882.00","57,64,420.00",0.0752
10-09-2023,475,484,475,477.6,-0.91,"20,640.00","98,81,252.10",0.0752
11-09-2023,471,508.9,471,499,4.48,"20,984.00","1,04,15,991.00",0.0752
12-09-2023,490.1,502,486.5,496,-0.6,"14,257.00","70,47,888.70",0.0752
13-09-2023,490,518.4,490,516,4.03,"28,300.00","1,44,03,635.30",0.0752
17-09-2023,506,509.9,493,496,-3.88,"29,262.00","1,45,96,805.30",0.0752
18-09-2023,488,505,486.1,501,1.01,"9,326.00","46,17,926.00",0.0752
19-09-2023,492.5,509,492.5,505,0.8,"13,940.00","69,69,503.20",0.0752
21-09-2023,510,524,507.1,516,2.18,"49,608.00","2,56,78,750.00",0.0752
24-09-2023,510,516,500,503,-2.52,"20,934.00","1,06,11,879.00",0.0752
25-09-2023,502,510,496,499.9,-0.62,"11,230.00","56,30,534.30",0.0752
26-09-2023,499,510,499,505,1.02,"19,877.00","99,95,794.70",0.0752
27-09-2023,495.1,504,495.1,501,-0.79,"15,635.00","77,85,773.80",0.0752
01-10-2023,493,497,484.2,489,-2.4,"17,644.00","85,97,443.70",0.0752
02-10-2023,481,498.7,480,491,0.41,"16,311.00","79,41,988.40",0.0752
03-10-2023,481.5,487,481.2,481.2,-2,"6,083.00","29,42,564.40",0.0752
04-10-2023,474.1,507,474.1,485,0.79,"9,881.00","47,78,452.00",0.0752
05-10-2023,478.1,484,477.6,482.5,-0.52,"17,806.00","85,39,288.80",0.0752
08-10-2023,479,480,458,460,-4.66,"19,069.00","88,79,025.80",0.0752
09-10-2023,452,463,450,455,-1.09,"12,611.00","57,25,068.60",0.0752
10-10-2023,446,463,445.9,446.9,-1.78,"15,537.00","69,64,408.80",0.0752
11-10-2023,441,466.1,441,466.1,4.3,"11,339.00","50,98,937.60",0.0752
12-10-2023,456.8,456.8,440.1,446.5,-4.21,"10,748.00","48,23,162.10",0.0752
16-10-2023,440,440,417.9,428,-4.14,"26,607.00","1,12,97,469.00",0.0752
17-10-2023,422,435.9,422,423,-1.17,"6,101.00","26,07,399.30",0.0752
18-10-2023,420,440,419,432,2.13,"9,997.00","43,29,715.10",0.0752
19-10-2023,426,440,425.2,434.8,0.65,"13,771.00","59,81,363.00",0.0752
29-10-2023,427.3,427.3,420,422.2,-2.9,"5,377.00","22,69,472.10",0.0752
30-10-2023,430.6,436,415,436,3.27,"10,932.00","45,87,744.20",0.0752
31-10-2023,429,430,418,430,-1.38,"4,122.00","17,41,158.00",0.0752
01-11-2023,430,430,416,421,-2.09,"5,346.00","22,52,477.30",0.0752
02-11-2023,416,437.9,413.3,418.9,-0.5,"9,506.00","39,60,065.10",0.0752
05-11-2023,411.2,412,401.5,409.8,-2.17,"13,314.00","54,05,635.00",0.0752
06-11-2023,401.7,419,401.7,419,2.24,"11,991.00","49,53,742.00",0.0752
07-11-2023,419,424,412.4,421.5,0.6,"6,213.00","26,06,669.30",0.0752
08-11-2023,419,428.4,415,425,0.83,"5,674.00","24,00,152.00",0.0752
09-11-2023,420,433,414.1,418,-1.65,"9,178.00","38,40,249.80",0.0752
20-11-2023,420,430,416.6,424,1.44,"12,309.00","52,30,849.40",0.0752
21-11-2023,416.3,420,411.1,413.3,-2.52,"4,793.00","19,91,972.80",0.0752
22-11-2023,413,424,407.7,424,2.59,"8,975.00","37,49,391.20",0.0752
23-11-2023,416,459,416,459,8.25,"30,831.00","1,35,39,880.40",0.0752
26-11-2023,454,483.4,450,478,4.14,"28,515.00","1,34,17,656.70",0.0752
27-11-2023,469,480,462,468,-2.09,"36,942.00","1,72,36,838.50",0.0752
28-11-2023,460.1,471,460.1,466,-0.43,"6,085.00","28,41,183.50",0.0752
29-11-2023,461,472,454.2,460,-1.29,"13,253.00","61,10,107.20",0.0752
30-11-2023,450.8,460,439,444.5,-3.37,"26,385.00","1,18,30,621.50",0.0752
03-12-2023,440,449,438,440.2,-0.97,"10,678.00","47,17,790.70",0.0752
04-12-2023,440,457,434.3,450,2.23,"19,405.00","87,41,394.50",0.0752
05-12-2023,451,466,450,452,0.44,"27,827.00","1,27,23,365.70",0.0752
06-12-2023,445,469,445,465,2.88,"25,345.00","1,15,92,171.40",0.0752
07-12-2023,468,475,455.6,470,1.08,"28,134.00","1,31,52,594.50",0.0752
10-12-2023,479.4,505,479.4,480,2.13,"10,050.00","49,69,928.20",0.0752
11-12-2023,485,497,470.1,487,1.46,"85,244.00","4,09,24,522.10",0.0752
12-12-2023,484.1,516,466,506,3.9,"1,87,344.00","9,25,94,329.00",0.0752
13-12-2023,499,510,490,498,-1.58,"61,061.00","3,03,96,077.90",0.0752
14-12-2023,488.1,496,482,494,-0.8,"39,529.00","1,93,29,026.40",0.0752
17-12-2023,484.5,494,476,484,-2.02,"88,152.00","4,28,00,437.60",0.0752
18-12-2023,486,505,479.3,484,0,"70,796.00","3,43,43,953.50",0.0752
19-12-2023,493,510,478.5,505,4.34,"87,134.00","4,29,83,597.50",0.0752
20-12-2023,506,514.9,497,500,-0.99,"64,614.00","3,26,71,750.60",0.0752
21-12-2023,490,505,479,479,-4.2,"68,516.00","3,34,79,052.10",0.0752
24-12-2023,479,503.9,477.1,481,0.42,"64,387.00","3,14,85,595.10",0.0752
27-12-2023,485.1,493,479.3,485,0.83,"29,564.00","1,43,58,196.80",0.0752
28-12-2023,476,489,476,478,-1.44,"36,085.00","1,73,64,473.40",0.0752
01-01-2024,481,492,479,483,1.05,"44,718.00","2,16,71,025.70",0.0752
02-01-2024,492,492.6,461.1,462.3,-4.29,"34,760.00","1,63,71,740.90",0.0752
