Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
19-07-2023,621.1,639.8,621.1,630,-0.16,"54,187.00","3,41,49,167.50",0.0752
20-07-2023,620,635.9,618.1,621,-1.43,"49,922.00","3,10,87,993.00",0.0752
23-07-2023,629,636,618,630,1.45,"48,763.00","3,06,30,924.10",0.0752
24-07-2023,630,633,620,624,-0.95,"58,605.00","3,66,82,227.50",0.0752
25-07-2023,629,629,608.3,609,-2.4,"59,017.00","3,62,48,005.10",0.0752
26-07-2023,608.1,617.9,604.1,608,-0.16,"55,717.00","3,39,92,565.10",0.0752
27-07-2023,608,615,592,594,-2.3,"65,045.00","3,90,38,465.30",0.0752
30-07-2023,604,605.8,579.2,580.1,-2.34,"1,01,444.00","5,95,05,442.30",0.0752
31-07-2023,580.1,600,580,590,1.71,"25,601.00","1,51,46,939.50",0.0752
1/8/2023,599.5,610.9,568,574,-2.71,"62,212.00","3,62,66,230.80",0.0752
2/8/2023,580,584,567.1,584,1.74,"34,799.00","2,00,44,622.40",0.0752
3/8/2023,595.5,607.4,583.4,589,0.86,"48,895.00","2,88,06,807.90",0.0752
6/8/2023,589,590,561.2,568.1,-3.55,"47,743.00","2,72,25,489.20",0.0752
7/8/2023,570,579.1,561.6,563,-0.9,"23,362.00","1,32,98,825.20",0.0752
8/8/2023,570,574,548.2,552.7,-1.83,"47,564.00","2,64,81,757.10",0.0752
9/8/2023,559.8,570,548.6,568,2.77,"46,538.00","2,58,16,294.70",0.0752
10/8/2023,575,580,565,571,0.53,"30,842.00","1,77,28,828.00",0.0752
13-08-2023,568,591.6,567.3,584,2.28,"56,695.00","3,28,44,714.10",0.0752
14-08-2023,589,593,574.1,580.9,-0.53,"37,485.00","2,19,63,462.50",0.0752
15-08-2023,570,578,563.5,567,-2.39,"21,265.00","1,21,19,178.10",0.0752
16-08-2023,565,565,555,555,-2.12,"29,520.00","1,64,86,666.20",0.0752
17-08-2023,566,567,555,561,1.08,"51,580.00","2,89,06,119.40",0.0752
20-08-2023,560,566,550,552,-1.6,"26,869.00","1,48,75,818.20",0.0752
21-08-2023,548,558.9,546.1,546.1,-1.07,"31,811.00","1,75,09,075.20",0.0752
22-08-2023,557,559.9,539,545.1,-0.18,"32,843.00","1,78,97,879.30",0.0752
23-08-2023,556,566,552.3,561.1,2.94,"25,125.00","1,41,18,510.50",0.0752
24-08-2023,556,565,544,549,-2.16,"34,643.00","1,91,97,202.10",0.0752
27-08-2023,553,553,539.1,543,-1.09,"25,074.00","1,36,40,043.00",0.0752
28-08-2023,549,550,541,542.1,-0.17,"19,672.00","1,07,44,426.50",0.0752
29-08-2023,535.5,547.9,535.5,547,0.9,"15,655.00","85,31,783.50",0.0752
30-08-2023,547,554,542,546,-0.18,"20,328.00","1,10,72,824.00",0.0752
3/9/2023,535.9,546.7,530,530.2,-2.89,"25,530.00","1,36,84,149.00",0.0752
4/9/2023,532,537.9,523,530,-0.04,"26,996.00","1,42,77,552.10",0.0752
5/9/2023,536.9,539,520.1,523,-1.32,"21,893.00","1,14,79,275.70",0.0752
7/9/2023,520,525,514,514,-1.72,"26,241.00","1,35,20,409.10",0.0752
10/9/2023,517,525,517,518.2,0.82,"24,496.00","1,27,28,372.40",0.0752
11/9/2023,517,542,517,536,3.43,"17,542.00","93,32,829.00",0.0752
12/9/2023,531.2,542.9,528.3,533,-0.56,"26,699.00","1,43,16,986.20",0.0752
13-09-2023,533,551.9,532,551,3.38,"19,979.00","1,09,09,241.40",0.0752
17-09-2023,546,546,528,528,-4.17,"25,930.00","1,38,76,318.30",0.0752
18-09-2023,525,535,525,530,0.38,"12,099.00","64,21,628.70",0.0752
19-09-2023,540,554.9,525,534.1,0.77,"21,071.00","1,13,65,477.30",0.0752
21-09-2023,544.7,566.2,536,559,4.66,"41,568.00","2,30,75,471.80",0.0752
24-09-2023,561,565,548.1,557,-0.36,"37,227.00","2,07,65,233.90",0.0752
25-09-2023,546,564.9,546,552,-0.9,"24,837.00","1,37,87,003.20",0.0752
26-09-2023,561.9,563,554,555.2,0.58,"21,309.00","1,18,78,629.90",0.0752
27-09-2023,565,565,544,544.5,-1.93,"17,287.00","94,45,259.40",0.0752
